onset,score,predict
0:00:01,0.0,unknown
0:00:02,0.5364276,outdoor
0:00:03,0.55335784,outdoor
0:00:04,0.5833658,outdoor
0:00:05,0.62438285,outdoor
0:00:06,0.6654505,outdoor
0:00:07,0.6538632,outdoor
0:00:08,0.6879822,outdoor
0:00:09,0.68582654,outdoor
0:00:10,0.68480784,outdoor
0:00:11,0.6812538,outdoor
0:00:12,0.6595901,outdoor
0:00:13,0.63689613,outdoor
0:00:14,0.6431663,outdoor
0:00:15,0.6093979,outdoor
0:00:16,0.5454604,outdoor
0:00:17,0.56008494,outdoor
0:00:18,0.5302788,outdoor
0:00:19,0.5341506,outdoor
0:00:20,0.53025454,outdoor
0:00:21,0.5420488,outdoor
0:00:22,0.5564221,outdoor
0:00:23,0.5616965,outdoor
0:00:24,0.58249235,outdoor
0:00:25,0.61389136,outdoor
0:00:26,0.6427244,outdoor
0:00:27,0.63956034,outdoor
0:00:28,0.63775766,outdoor
0:00:29,0.61331856,outdoor
0:00:30,0.6087222,outdoor
0:00:31,0.62750816,outdoor
0:00:32,0.6574943,outdoor
0:00:33,0.6085614,outdoor
0:00:34,0.7155374,outdoor
0:00:35,0.6872653,outdoor
0:00:36,0.5968682,outdoor
0:00:37,0.7646574,outdoor
0:00:38,0.6390134,outdoor
0:00:39,0.66091776,outdoor
0:00:40,0.51920223,outdoor
0:00:41,0.0,unknown
0:00:42,0.0,unknown
0:00:43,0.0,unknown
0:00:44,0.0,unknown
0:00:45,0.0,unknown
0:00:46,0.0,unknown
0:00:47,0.0,unknown
0:00:48,0.0,unknown
0:00:49,0.5436978,transportation
0:00:50,0.5385043,transportation
0:00:51,0.6169033,transportation
0:00:52,0.60893804,transportation
0:00:53,0.58030915,transportation
0:00:54,0.0,unknown
0:00:55,0.0,unknown
0:00:56,0.0,unknown
0:00:57,0.0,unknown
0:00:58,0.0,unknown
0:00:59,0.0,unknown
0:01:00,0.0,unknown
0:01:01,0.0,unknown
0:01:02,0.0,unknown
0:01:03,0.0,unknown
0:01:04,0.5092556,outdoor
0:01:05,0.0,unknown
0:01:06,0.5603609,outdoor
0:01:07,0.5752237,outdoor
0:01:08,0.6149352,outdoor
0:01:09,0.61095023,outdoor
0:01:10,0.51668465,outdoor
0:01:11,0.59415424,outdoor
0:01:12,0.5911373,outdoor
0:01:13,0.5393971,outdoor
0:01:14,0.0,unknown
0:01:15,0.52841836,outdoor
0:01:16,0.5277299,outdoor
0:01:17,0.5019804,outdoor
0:01:18,0.0,unknown
0:01:19,0.0,unknown
0:01:20,0.0,unknown
0:01:21,0.0,unknown
0:01:22,0.0,unknown
0:01:23,0.0,unknown
0:01:24,0.53857267,outdoor
0:01:25,0.56816655,outdoor
0:01:26,0.5698593,outdoor
0:01:27,0.5709624,outdoor
0:01:28,0.5745983,outdoor
0:01:29,0.555643,outdoor
0:01:30,0.5400752,outdoor
0:01:31,0.0,unknown
0:01:32,0.51344025,outdoor
0:01:33,0.51537377,outdoor
0:01:34,0.50725895,outdoor
0:01:35,0.0,unknown
0:01:36,0.0,unknown
0:01:37,0.0,unknown
0:01:38,0.0,unknown
0:01:39,0.0,unknown
0:01:40,0.0,unknown
0:01:41,0.0,unknown
0:01:42,0.0,unknown
0:01:43,0.0,unknown
0:01:44,0.0,unknown
0:01:45,0.0,unknown
0:01:46,0.0,unknown
0:01:47,0.0,unknown
0:01:48,0.0,unknown
0:01:49,0.0,unknown
0:01:50,0.0,unknown
0:01:51,0.0,unknown
0:01:52,0.0,unknown
0:01:53,0.0,unknown
0:01:54,0.0,unknown
0:01:55,0.0,unknown
0:01:56,0.0,unknown
0:01:57,0.5108578,outdoor
0:01:58,0.526391,outdoor
0:01:59,0.5188601,outdoor
0:02:00,0.5090908,outdoor
0:02:01,0.5234659,outdoor
0:02:02,0.55058676,outdoor
0:02:03,0.60679376,outdoor
0:02:04,0.6140958,outdoor
0:02:05,0.59381956,outdoor
0:02:06,0.5637792,outdoor
0:02:07,0.57615644,outdoor
0:02:08,0.5462146,outdoor
0:02:09,0.57728124,outdoor
0:02:10,0.6017364,outdoor
0:02:11,0.5788483,outdoor
0:02:12,0.57428455,outdoor
0:02:13,0.595211,outdoor
0:02:14,0.55632,outdoor
0:02:15,0.5607627,outdoor
0:02:16,0.5205369,outdoor
0:02:17,0.5358343,outdoor
0:02:18,0.5063084,outdoor
0:02:19,0.60169977,transportation
0:02:20,0.6188594,transportation
0:02:21,0.5665469,transportation
0:02:22,0.5239489,transportation
0:02:23,0.5532558,transportation
0:02:24,0.5514147,transportation
0:02:25,0.7881614,transportation
0:02:26,0.8122351,transportation
0:02:27,0.80746204,transportation
0:02:28,0.8212333,transportation
0:02:29,0.84057105,transportation
0:02:30,0.84008837,transportation
0:02:31,0.8201132,transportation
0:02:32,0.8049381,transportation
0:02:33,0.8104502,transportation
0:02:34,0.78582704,transportation
0:02:35,0.6835681,transportation
0:02:36,0.7707952,transportation
0:02:37,0.7691648,transportation
0:02:38,0.7779658,transportation
0:02:39,0.755507,transportation
0:02:40,0.7470505,transportation
0:02:41,0.77040195,transportation
0:02:42,0.7616184,transportation
0:02:43,0.8020875,transportation
0:02:44,0.8205874,transportation
0:02:45,0.803508,transportation
0:02:46,0.8278719,transportation
0:02:47,0.8203989,transportation
0:02:48,0.8389013,transportation
0:02:49,0.83822745,transportation
0:02:50,0.83918726,transportation
0:02:51,0.8465855,transportation
0:02:52,0.8125909,transportation
0:02:53,0.8178314,transportation
0:02:54,0.7971701,transportation
0:02:55,0.77503103,transportation
0:02:56,0.76049364,transportation
0:02:57,0.74467313,transportation
0:02:58,0.7340134,transportation
0:02:59,0.0,unknown
0:03:00,0.73482823,transportation
0:03:01,0.7316443,transportation
0:03:02,0.75002664,transportation
0:03:03,0.73161495,transportation
0:03:04,0.7402804,transportation
0:03:05,0.7562034,transportation
0:03:06,0.7677214,transportation
0:03:07,0.76412517,transportation
0:03:08,0.79082084,transportation
0:03:09,0.79401946,transportation
0:03:10,0.784542,transportation
0:03:11,0.76672125,transportation
0:03:12,0.68784463,transportation
0:03:13,0.68897086,transportation
0:03:14,0.70758605,transportation
0:03:15,0.72564006,transportation
0:03:16,0.68301946,transportation
0:03:17,0.7128304,transportation
0:03:18,0.71135765,transportation
0:03:19,0.6717558,transportation
0:03:20,0.69509304,transportation
0:03:21,0.7062958,transportation
0:03:22,0.7331939,transportation
0:03:23,0.70800924,transportation
0:03:24,0.66376907,transportation
0:03:25,0.6669771,transportation
0:03:26,0.6760986,transportation
0:03:27,0.64060056,transportation
0:03:28,0.64422154,transportation
0:03:29,0.65325475,transportation
0:03:30,0.6399945,transportation
0:03:31,0.6330525,transportation
0:03:32,0.58580244,transportation
0:03:33,0.53349173,transportation
0:03:34,0.0,unknown
0:03:35,0.0,unknown
0:03:36,0.0,unknown
0:03:37,0.0,unknown
0:03:38,0.0,unknown
0:03:39,0.5089601,indoor
0:03:40,0.50209296,indoor
0:03:41,0.5213161,indoor
0:03:42,0.5218816,indoor
0:03:43,0.52252436,indoor
0:03:44,0.0,unknown
0:03:45,0.0,unknown
0:03:46,0.0,unknown
0:03:47,0.0,unknown
0:03:48,0.0,unknown
0:03:49,0.0,unknown
0:03:50,0.0,unknown
0:03:51,0.0,unknown
0:03:52,0.0,unknown
0:03:53,0.0,unknown
0:03:54,0.0,unknown
0:03:55,0.0,unknown
0:03:56,0.0,unknown
0:03:57,0.0,unknown
0:03:58,0.0,unknown
0:03:59,0.0,unknown
0:04:00,0.0,unknown
0:04:01,0.0,unknown
0:04:02,0.0,unknown
0:04:03,0.0,unknown
0:04:04,0.0,unknown
0:04:05,0.0,unknown
0:04:06,0.0,unknown
0:04:07,0.0,unknown
0:04:08,0.0,unknown
0:04:09,0.0,unknown
0:04:10,0.0,unknown
0:04:11,0.0,unknown
0:04:12,0.0,unknown
0:04:13,0.0,unknown
0:04:14,0.0,unknown
0:04:15,0.0,unknown
0:04:16,0.0,unknown
0:04:17,0.0,unknown
0:04:18,0.0,unknown
0:04:19,0.0,unknown
0:04:20,0.0,unknown
0:04:21,0.0,unknown
0:04:22,0.5451695,indoor
0:04:23,0.51625174,indoor
0:04:24,0.5076889,indoor
0:04:25,0.5285169,indoor
0:04:26,0.5506453,indoor
0:04:27,0.0,unknown
0:04:28,0.0,unknown
0:04:29,0.0,unknown
0:04:30,0.0,unknown
0:04:31,0.0,unknown
0:04:32,0.0,unknown
0:04:33,0.5056422,indoor
0:04:34,0.52536035,indoor
0:04:35,0.0,unknown
0:04:36,0.5144515,indoor
0:04:37,0.0,unknown
0:04:38,0.5252659,indoor
0:04:39,0.6077304,indoor
0:04:40,0.6519983,indoor
0:04:41,0.64252317,indoor
0:04:42,0.59207577,indoor
0:04:43,0.0,unknown
0:04:44,0.0,unknown
0:04:45,0.5931724,indoor
0:04:46,0.63698566,indoor
0:04:47,0.62624776,indoor
0:04:48,0.60687363,indoor
0:04:49,0.5460595,indoor
0:04:50,0.53923005,indoor
0:04:51,0.5403832,indoor
0:04:52,0.5184172,indoor
0:04:53,0.5126406,indoor
0:04:54,0.5119784,indoor
0:04:55,0.5344727,indoor
0:04:56,0.5286878,indoor
0:04:57,0.54255235,indoor
0:04:58,0.67382264,indoor
0:04:59,0.66402006,indoor
0:05:00,0.6226503,indoor
0:05:01,0.560547,indoor
0:05:02,0.6215948,indoor
0:05:03,0.55833834,indoor
0:05:04,0.55097795,indoor
0:05:05,0.5473655,indoor
0:05:06,0.5313189,indoor
0:05:07,0.0,unknown
0:05:08,0.0,unknown
0:05:09,0.0,unknown
0:05:10,0.0,unknown
0:05:11,0.0,unknown
0:05:12,0.0,unknown
0:05:13,0.0,unknown
0:05:14,0.0,unknown
0:05:15,0.0,unknown
0:05:16,0.0,unknown
0:05:17,0.0,unknown
0:05:18,0.0,unknown
0:05:19,0.0,unknown
0:05:20,0.0,unknown
0:05:21,0.0,unknown
0:05:22,0.0,unknown
0:05:23,0.0,unknown
0:05:24,0.5491073,indoor
0:05:25,0.0,unknown
0:05:26,0.0,unknown
0:05:27,0.5588058,indoor
0:05:28,0.0,unknown
0:05:29,0.5047635,indoor
0:05:30,0.0,unknown
0:05:31,0.5301947,indoor
0:05:32,0.5481625,indoor
0:05:33,0.0,unknown
0:05:34,0.0,unknown
0:05:35,0.50631905,indoor
0:05:36,0.0,unknown
0:05:37,0.0,unknown
0:05:38,0.0,unknown
0:05:39,0.0,unknown
0:05:40,0.0,unknown
0:05:41,0.0,unknown
0:05:42,0.0,unknown
0:05:43,0.0,unknown
0:05:44,0.0,unknown
0:05:45,0.0,unknown
0:05:46,0.0,unknown
0:05:47,0.0,unknown
0:05:48,0.0,unknown
0:05:49,0.0,unknown
0:05:50,0.0,unknown
0:05:51,0.0,unknown
0:05:52,0.0,unknown
0:05:53,0.0,unknown
0:05:54,0.0,unknown
0:05:55,0.0,unknown
0:05:56,0.0,unknown
0:05:57,0.0,unknown
0:05:58,0.0,unknown
0:05:59,0.0,unknown
0:06:00,0.0,unknown
0:06:01,0.0,unknown
0:06:02,0.0,unknown
0:06:03,0.0,unknown
0:06:04,0.0,unknown
0:06:05,0.0,unknown
0:06:06,0.0,unknown
0:06:07,0.0,unknown
0:06:08,0.0,unknown
0:06:09,0.0,unknown
0:06:10,0.0,unknown
0:06:11,0.0,unknown
0:06:12,0.0,unknown
0:06:13,0.0,unknown
0:06:14,0.0,unknown
0:06:15,0.0,unknown
0:06:16,0.0,unknown
0:06:17,0.0,unknown
0:06:18,0.0,unknown
0:06:19,0.0,unknown
0:06:20,0.0,unknown
0:06:21,0.0,unknown
0:06:22,0.0,unknown
0:06:23,0.51226556,outdoor
0:06:24,0.52026165,outdoor
0:06:25,0.5007165,outdoor
0:06:26,0.0,unknown
0:06:27,0.0,unknown
0:06:28,0.0,unknown
0:06:29,0.0,unknown
0:06:30,0.0,unknown
0:06:31,0.0,unknown
0:06:32,0.0,unknown
0:06:33,0.0,unknown
0:06:34,0.0,unknown
0:06:35,0.0,unknown
0:06:36,0.0,unknown
0:06:37,0.0,unknown
0:06:38,0.0,unknown
0:06:39,0.0,unknown
0:06:40,0.0,unknown
0:06:41,0.0,unknown
0:06:42,0.0,unknown
0:06:43,0.0,unknown
0:06:44,0.0,unknown
0:06:45,0.0,unknown
0:06:46,0.0,unknown
0:06:47,0.0,unknown
0:06:48,0.0,unknown
0:06:49,0.0,unknown
0:06:50,0.0,unknown
0:06:51,0.0,unknown
0:06:52,0.0,unknown
0:06:53,0.0,unknown
0:06:54,0.0,unknown
0:06:55,0.0,unknown
0:06:56,0.0,unknown
0:06:57,0.0,unknown
0:06:58,0.0,unknown
0:06:59,0.0,unknown
0:07:00,0.0,unknown
0:07:01,0.0,unknown
0:07:02,0.0,unknown
0:07:03,0.0,unknown
0:07:04,0.0,unknown
0:07:05,0.0,unknown
0:07:06,0.0,unknown
0:07:07,0.5878165,transportation
0:07:08,0.619607,transportation
0:07:09,0.61918473,transportation
0:07:10,0.6521063,transportation
0:07:11,0.53820443,indoor
0:07:12,0.5321544,indoor
0:07:13,0.0,unknown
0:07:14,0.0,unknown
0:07:15,0.0,unknown
0:07:16,0.0,unknown
0:07:17,0.0,unknown
0:07:18,0.50509495,outdoor
0:07:19,0.0,unknown
0:07:20,0.0,unknown
0:07:21,0.0,unknown
0:07:22,0.0,unknown
0:07:23,0.0,unknown
0:07:24,0.0,unknown
0:07:25,0.0,unknown
0:07:26,0.0,unknown
0:07:27,0.0,unknown
0:07:28,0.0,unknown
0:07:29,0.0,unknown
0:07:30,0.0,unknown
0:07:31,0.0,unknown
0:07:32,0.0,unknown
0:07:33,0.0,unknown
0:07:34,0.0,unknown
0:07:35,0.0,unknown
0:07:36,0.0,unknown
0:07:37,0.0,unknown
0:07:38,0.0,unknown
0:07:39,0.0,unknown
0:07:40,0.0,unknown
0:07:41,0.0,unknown
0:07:42,0.0,unknown
0:07:43,0.0,unknown
0:07:44,0.0,unknown
0:07:45,0.5311902,indoor
0:07:46,0.5145278,indoor
0:07:47,0.0,unknown
0:07:48,0.0,unknown
0:07:49,0.0,unknown
0:07:50,0.53305787,indoor
0:07:51,0.5381476,indoor
0:07:52,0.559778,indoor
0:07:53,0.5253034,indoor
0:07:54,0.52675915,indoor
0:07:55,0.51346606,indoor
0:07:56,0.0,unknown
0:07:57,0.0,unknown
0:07:58,0.0,unknown
0:07:59,0.0,unknown
0:08:00,0.0,unknown
0:08:01,0.5247259,outdoor
0:08:02,0.5513426,outdoor
0:08:03,0.55197066,outdoor
0:08:04,0.6201153,outdoor
0:08:05,0.61820096,outdoor
0:08:06,0.6386983,outdoor
0:08:07,0.63517106,outdoor
0:08:08,0.55393124,outdoor
0:08:09,0.59254056,outdoor
0:08:10,0.57943,outdoor
0:08:11,0.5558001,outdoor
0:08:12,0.58189225,outdoor
0:08:13,0.58297515,outdoor
0:08:14,0.6525069,outdoor
0:08:15,0.57178617,outdoor
0:08:16,0.6169454,outdoor
0:08:17,0.6034313,outdoor
0:08:18,0.5834893,outdoor
0:08:19,0.6410011,outdoor
0:08:20,0.66728354,outdoor
0:08:21,0.59834373,outdoor
0:08:22,0.6318846,outdoor
0:08:23,0.64818895,outdoor
0:08:24,0.6613105,outdoor
0:08:25,0.68160486,outdoor
0:08:26,0.68016946,outdoor
0:08:27,0.63652015,outdoor
0:08:28,0.6154306,outdoor
0:08:29,0.65968955,outdoor
0:08:30,0.6438351,outdoor
0:08:31,0.66268027,outdoor
0:08:32,0.6321043,outdoor
0:08:33,0.61671615,outdoor
0:08:34,0.6081748,outdoor
0:08:35,0.6090189,outdoor
0:08:36,0.60219455,outdoor
0:08:37,0.6373447,outdoor
0:08:38,0.61723495,outdoor
0:08:39,0.0,unknown
0:08:40,0.0,unknown
0:08:41,0.0,unknown
0:08:42,0.0,unknown
0:08:43,0.0,unknown
0:08:44,0.0,unknown
0:08:45,0.0,unknown
0:08:46,0.5703308,outdoor
0:08:47,0.5584193,outdoor
0:08:48,0.5673268,outdoor
0:08:49,0.6695224,outdoor
0:08:50,0.65265054,outdoor
0:08:51,0.7016192,outdoor
0:08:52,0.70658493,outdoor
0:08:53,0.715781,outdoor
0:08:54,0.702516,outdoor
0:08:55,0.6701565,outdoor
0:08:56,0.6170032,outdoor
0:08:57,0.58719814,outdoor
0:08:58,0.5225285,outdoor
0:08:59,0.5624137,outdoor
0:09:00,0.5044739,outdoor
0:09:01,0.5385697,outdoor
0:09:02,0.0,unknown
0:09:03,0.0,unknown
0:09:04,0.0,unknown
0:09:05,0.0,unknown
0:09:06,0.0,unknown
0:09:07,0.51367575,outdoor
0:09:08,0.53087974,outdoor
0:09:09,0.5177103,outdoor
0:09:10,0.0,unknown
0:09:11,0.5343969,outdoor
0:09:12,0.5002381,outdoor
0:09:13,0.53294665,outdoor
0:09:14,0.5337659,outdoor
0:09:15,0.5211332,outdoor
0:09:16,0.5723003,outdoor
0:09:17,0.0,unknown
0:09:18,0.55652887,outdoor
0:09:19,0.5873507,outdoor
0:09:20,0.6085706,outdoor
0:09:21,0.593084,outdoor
0:09:22,0.6181204,outdoor
0:09:23,0.6464587,outdoor
0:09:24,0.6468525,outdoor
0:09:25,0.6735538,outdoor
0:09:26,0.6435167,outdoor
0:09:27,0.69751775,outdoor
0:09:28,0.6642231,outdoor
0:09:29,0.6682134,outdoor
0:09:30,0.6694561,outdoor
0:09:31,0.0,unknown
0:09:32,0.0,unknown
0:09:33,0.0,unknown
0:09:34,0.0,unknown
0:09:35,0.0,unknown
0:09:36,0.53596216,outdoor
0:09:37,0.5881826,outdoor
0:09:38,0.60364574,outdoor
0:09:39,0.5919657,outdoor
0:09:40,0.56164926,outdoor
0:09:41,0.571406,outdoor
0:09:42,0.5345501,outdoor
0:09:43,0.56489235,outdoor
0:09:44,0.5539233,outdoor
0:09:45,0.5169047,outdoor
0:09:46,0.51196176,outdoor
0:09:47,0.50205535,outdoor
0:09:48,0.0,unknown
0:09:49,0.0,unknown
0:09:50,0.0,unknown
0:09:51,0.0,unknown
0:09:52,0.0,unknown
0:09:53,0.0,unknown
0:09:54,0.0,unknown
0:09:55,0.0,unknown
0:09:56,0.0,unknown
0:09:57,0.0,unknown
0:09:58,0.0,unknown
0:09:59,0.0,unknown
0:10:00,0.0,unknown
0:10:01,0.0,unknown
0:10:02,0.0,unknown
0:10:03,0.0,unknown
0:10:04,0.5123436,outdoor
0:10:05,0.0,unknown
0:10:06,0.5241681,outdoor
0:10:07,0.0,unknown
0:10:08,0.5044932,outdoor
0:10:09,0.0,unknown
0:10:10,0.58091056,outdoor
0:10:11,0.5508381,outdoor
0:10:12,0.5227624,outdoor
0:10:13,0.0,unknown
0:10:14,0.0,unknown
0:10:15,0.0,unknown
0:10:16,0.0,unknown
0:10:17,0.0,unknown
0:10:18,0.0,unknown
0:10:19,0.0,unknown
0:10:20,0.0,unknown
0:10:21,0.0,unknown
0:10:22,0.0,unknown
0:10:23,0.0,unknown
0:10:24,0.5084109,outdoor
0:10:25,0.0,unknown
0:10:26,0.0,unknown
0:10:27,0.0,unknown
0:10:28,0.0,unknown
0:10:29,0.0,unknown
0:10:30,0.0,unknown
0:10:31,0.0,unknown
0:10:32,0.0,unknown
0:10:33,0.0,unknown
0:10:34,0.0,unknown
0:10:35,0.0,unknown
0:10:36,0.5073966,outdoor
0:10:37,0.5496812,outdoor
0:10:38,0.57500887,outdoor
0:10:39,0.5760809,outdoor
0:10:40,0.612272,outdoor
0:10:41,0.6353652,outdoor
0:10:42,0.6666269,outdoor
0:10:43,0.6908866,outdoor
0:10:44,0.72461164,outdoor
0:10:45,0.7153703,outdoor
0:10:46,0.7116264,outdoor
0:10:47,0.6906674,outdoor
0:10:48,0.710407,outdoor
0:10:49,0.7132505,outdoor
0:10:50,0.7363797,outdoor
0:10:51,0.73991567,outdoor
0:10:52,0.72964925,outdoor
0:10:53,0.7415144,outdoor
0:10:54,0.707927,outdoor
0:10:55,0.69465053,outdoor
0:10:56,0.7081675,outdoor
0:10:57,0.6957067,outdoor
0:10:58,0.71067494,outdoor
0:10:59,0.7174928,outdoor
0:11:00,0.7258389,outdoor
0:11:01,0.7286154,outdoor
0:11:02,0.70935696,outdoor
0:11:03,0.7068076,outdoor
0:11:04,0.7102744,outdoor
0:11:05,0.72495705,outdoor
0:11:06,0.7259023,outdoor
0:11:07,0.7234942,outdoor
0:11:08,0.7137684,outdoor
0:11:09,0.7068505,outdoor
0:11:10,0.682366,outdoor
0:11:11,0.65761375,outdoor
0:11:12,0.6371343,outdoor
0:11:13,0.61246616,outdoor
0:11:14,0.6147847,outdoor
0:11:15,0.582358,outdoor
0:11:16,0.5531838,outdoor
0:11:17,0.5118171,outdoor
0:11:18,0.0,unknown
0:11:19,0.0,unknown
0:11:20,0.0,unknown
0:11:21,0.51370764,indoor
0:11:22,0.5018211,indoor
0:11:23,0.5823282,outdoor
0:11:24,0.5777686,outdoor
0:11:25,0.51714396,outdoor
0:11:26,0.0,unknown
0:11:27,0.0,unknown
0:11:28,0.0,unknown
0:11:29,0.0,unknown
0:11:30,0.0,unknown
0:11:31,0.0,unknown
0:11:32,0.0,unknown
0:11:33,0.0,unknown
0:11:34,0.0,unknown
0:11:35,0.0,unknown
0:11:36,0.0,unknown
0:11:37,0.0,unknown
0:11:38,0.0,unknown
0:11:39,0.0,unknown
0:11:40,0.0,unknown
0:11:41,0.0,unknown
0:11:42,0.0,unknown
0:11:43,0.0,unknown
0:11:44,0.0,unknown
0:11:45,0.0,unknown
0:11:46,0.0,unknown
0:11:47,0.0,unknown
0:11:48,0.0,unknown
0:11:49,0.0,unknown
0:11:50,0.0,unknown
0:11:51,0.0,unknown
0:11:52,0.0,unknown
0:11:53,0.0,unknown
0:11:54,0.0,unknown
0:11:55,0.0,unknown
0:11:56,0.0,unknown
0:11:57,0.0,unknown
0:11:58,0.0,unknown
0:11:59,0.0,unknown
0:12:00,0.0,unknown
